ts_code,stock_name,trade_date,open,high,low,close,vol,sum,diff,chg,pft,diff_5d,diff_20d
600887.SH,伊利股份,2025/4/3,2377.3845,2433.1715,2377.3845,2428.0219,43331553,1220247540,1.6164,0.6841,15.1122,-0.0807,0.077035
600887.SH,伊利股份,2025/4/7,2361.0775,2452.9115,2287.267,2367.9436,111579948,3074727586,-2.4744,1.7615,14.7383,-0.44182,-0.003815
600887.SH,伊利股份,2025/4/8,2367.0853,2465.7854,2329.3218,2465.7854,113204246,3191082697,4.1319,1.7871,15.3473,0.48378,0.27125
600887.SH,伊利股份,2025/4/9,2445.1871,2538.7376,2424.5889,2534.4463,116667172,3392535760,2.7845,1.8418,15.7746,1.0478,0.36115
600887.SH,伊利股份,2025/4/10,2567.9185,2567.9185,2495.8246,2547.3203,80859970,2387476607,0.508,1.2765,15.8548,1.31328,0.429965
600887.SH,伊利股份,2025/4/11,2560.1942,2561.0524,2485.5254,2510.415,54351214,1587840361,-1.4488,0.858,15.6251,0.70024,0.35935
600887.SH,伊利股份,2025/4/14,2498.3993,2524.1472,2482.0924,2515.5646,35563990,1040584963,0.2051,0.5614,15.6571,1.23614,-0.06121
600887.SH,伊利股份,2025/4/15,2517.2811,2557.6194,2499.2576,2521.5724,41499074,1221996934,0.2388,0.6551,15.6945,0.45752,0.058295
600887.SH,伊利股份,2025/4/16,2530.155,2552.4698,2502.6907,2549.0368,48361222,1427081633,1.0892,0.7635,15.8654,0.11846,0.164285
600887.SH,伊利股份,2025/4/17,2531.8715,2553.3281,2507.8402,2547.3203,30587913,903937348,-0.0673,0.4829,15.8548,0.0034,0.190425
600887.SH,伊利股份,2025/4/18,2551.6116,2551.6116,2510.415,2541.3124,27078063,797138358,-0.2358,0.4275,15.8174,0.246,0.232755
600887.SH,伊利股份,2025/4/21,2522.4307,2531.0133,2492.3915,2495.8246,31845528,929093196,-1.7899,0.5027,15.5342,-0.153,0.259745
600887.SH,伊利股份,2025/4/22,2490.675,2509.5567,2482.0924,2482.9506,31186928,905515177,-0.5158,0.4923,15.4541,-0.30392,0.172515
